Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster
Philippines,Y,N,Y,Diversified,NA,NA,NA,The Hustler
United States,N,Y,N,Investments,NA,NA,NA,The Ghost
United States,Y,N,N,Energy,1920,Former Ceo,-15,The Hustler
Brazil,N,N,N,Finance,1943,Relation,5,The Consistent
South Korea,N,Y,N,Automotive,1941,Relation,3,The Consistent
Japan,N,N,N,Technology,1959,Founder,28,The Ghost
Israel,Y,N,N,Finance,1955,Founder,20,The Hustler
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
Romania,Y,N,N,Finance,NA,NA,NA,The Hustler
France,N,N,Y,Automotive,1957,NA,18,The Consistent
Japan,Y,Y,N,Gaming,NA,NA,NA,The Hustler
Australia,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost
Israel,N,N,N,Food and Beverage,NA,NA,NA,The Ghost
United States,Y,Y,Y,Real Estate,NA,NA,NA,The Hustler
United States,N,Y,N,Media,NA,NA,NA,The Ghost
United Kingdom,Y,N,N,Metals and Mining,1989,NA,50,The Hustler
United States,N,N,N,Fashion and Retail,1948,NA,6,The Consistent
United States,Y,Y,Y,Investments,NA,NA,NA,The Ghost
India,N,Y,N,Construction and Engineering,NA,NA,NA,The Hustler
Peru,Y,Y,N,Fashion and Retail,1988,NA,43,The Consistent
Spain,Y,N,N,Investments,1952,NA,6,The Consistent
Japan,N,N,N,Service,1955,Relation,9,The Consistent
Egypt,Y,Y,Y,Diversified,1952,NA,6,The Consistent
Turkey,N,N,N,Finance,NA,Relation,NA,The Consistent
France,N,N,N,Media,1926,Relation,-18,The Hustler
United States,Y,Y,N,Food and Beverage,NA,NA,NA,The Ghost
Turkey,N,N,N,Finance,NA,NA,NA,The Consistent
Taiwan,Y,N,N,Real Estate,NA,NA,NA,The Consistent
United Kingdom,Y,Y,N,Telecom,1998,NA,52,The Consistent
Brazil,Y,N,N,Energy,NA,NA,NA,The Ghost
Brazil,Y,N,N,Media,1953,NA,8,The Hustler
Australia,Y,N,N,Real Estate,1976,Founder,32,The Hustler
Germany,N,N,N,Media,1948,Relation,6,The Ghost
Spain,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost
Canada,Y,Y,N,Finance,NA,NA,NA,The Ghost
Taiwan,Y,N,N,Technology,1997,CEO,46,The Consistent
United States,N,N,N,Energy,NA,NA,NA,The Hustler
France,N,N,N,Automotive,1957,Relation,7,The Consistent
South Korea,N,N,N,Manufacturing,1967,NA,15,The Consistent
China,Y,N,Y,Fashion and Retail,1975,NA,24,The Consistent
United States,Y,Y,Y,Real Estate,NA,NA,NA,The Ghost
South Korea,N,Y,N,Technology,1947,Relation,-3,The Hustler
Turkey,N,N,N,Logistics,NA,NA,NA,The Ghost
China,Y,N,N,Manufacturing,NA,NA,NA,The Hustler
Australia,Y,N,N,Real Estate,1913,Relation,-40,The Consistent
Russia,Y,N,N,Automotive,1996,Founder,47,The Hustler
India,N,N,Y,Telecom,NA,NA,NA,The Ghost
Russia,Y,N,N,Automotive,NA,NA,NA,The Ghost
Brazil,Y,N,N,Service,NA,NA,NA,The Ghost
United States,Y,N,N,Manufacturing,1979,Founder,25,The Hustler
India,Y,N,N,Software,NA,NA,NA,The Hustler
China,Y,N,N,Health care,NA,NA,NA,The Hustler
Denmark,N,Y,N,Technology,1907,Relation,-45,The Hustler
United States,Y,N,N,Media,NA,NA,NA,The Ghost
China,N,N,N,Manufacturing,NA,NA,NA,The Ghost
Australia,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost
United States,Y,Y,N,Media,NA,NA,NA,The Ghost
United States,Y,N,N,Service,NA,NA,NA,The Ghost
Spain,N,Y,N,Construction and Engineering,1952,NA,-4,The Consistent
Russia,Y,Y,N,Energy,1991,Founder,38,The Hustler
China,N,N,N,Manufacturing,NA,NA,NA,The Ghost
United States,Y,Y,N,Media,1980,Founder,34,The Ghost
China,N,N,N,Fashion and Retail,NA,NA,NA,The Ghost
Japan,N,N,N,Retail,1934,Relation,-13,The Ghost
United States,N,N,N,Retail,1923,Relation,-34,The Consistent
Israel,N,N,N,Metals and Mining,NA,NA,NA,The Consistent
Malaysia,Y,N,N,Software,1989,NA,35,The Hustler
Romania,Y,N,N,Agriculture,1995,Founder,41,The Hustler
United States,Y,Y,N,Real Estate,NA,NA,NA,The Ghost
Japan,Y,Y,N,Retail,NA,NA,NA,The Ghost
Turkey,N,Y,N,Health care,NA,NA,NA,The Ghost
China,Y,Y,N,Diversified,2007,Chairman,52,The Hustler
United States,Y,Y,Y,Finance,1993,NA,36,The Hustler
China,Y,N,Y,Diversified,1990,Chairman,32,The Consistent
China,Y,N,N,Media,2005,NA,48,The Consistent
Russia,Y,Y,N,Retail,NA,NA,NA,The Consistent
Morocco,Y,N,N,Real Estate,1988,Founder,31,The Hustler
Uganda,Y,N,N,Real Estate,1985,NA,30,The Hustler
United Kingdom,Y,N,Y,Energy,1981,CEO,22,The Consistent
United Kingdom,Y,N,N,Real Estate,NA,NA,NA,The Consistent
Singapore,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
Cyprus,N,N,N,Service,NA,NA,NA,The Consistent
Switzerland,Y,N,N,Retail,1984,Founder,25,The Consistent
Hong Kong,Y,N,N,Real Estate,NA,NA,NA,The Hustler
China,Y,N,N,Manufacturing,NA,NA,NA,The Ghost
Ukraine,Y,N,N,Metals and Mining,NA,Founder,NA,The Consistent
China,Y,Y,N,Real Estate,NA,Chairman,NA,The Consistent
Russia,Y,Y,N,Energy,NA,Founder,NA,The Consistent
United States,Y,Y,Y,Energy,NA,Founder,NA,The Hustler
China,N,N,Y,Logistics,NA,NA,NA,The Ghost
Spain,N,N,N,Metals and Mining,1902,Relation,-61,The Hustler
Spain,N,Y,Y,Construction and Engineering,1952,Relation,-11,The Consistent
Ukraine,Y,N,N,Diversified,NA,NA,NA,The Consistent
Singapore,Y,N,N,Real Estate,NA,Founder,NA,The Consistent
Russia,Y,Y,N,Finance,1991,Founder,28,The Consistent
Russia,Y,Y,N,Media,1997,Founder,34,The Hustler
United States,Y,Y,N,Media,NA,NA,NA,The Ghost
United States,Y,Y,Y,Finance,1999,Founder,35,The Consistent
China,Y,Y,N,Service,2001,NA,37,The Consistent
Russia,Y,Y,N,Energy,NA,Founder,NA,The Consistent
Russia,Y,N,N,Agriculture,NA,NA,NA,The Hustler
United Kingdom,Y,Y,N,Finance,NA,NA,NA,The Ghost
Italy,N,N,N,Fashion and Retail,1920,NA,-46,The Consistent
Indonesia,Y,N,N,Media,1989,Founder,24,The Consistent
United States,Y,Y,Y,Telecom,NA,NA,NA,The Ghost
Hong Kong,Y,N,Y,Fashion and Retail,NA,NA,NA,The Ghost
India,Y,N,N,Real Estate,NA,NA,NA,The Ghost
China,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost
Turkey,N,Y,Y,Diversified,NA,NA,NA,The Ghost
China,Y,Y,N,Retail,1994,NA,29,The Hustler
China,Y,N,N,Manufacturing,NA,NA,NA,The Ghost
China,Y,N,N,Retail,NA,NA,NA,The Ghost
China,Y,N,N,Manufacturing,NA,NA,NA,The Hustler
China,Y,Y,N,Real Estate,NA,NA,NA,The Hustler
South Korea,Y,Y,N,Software,1999,Founder,31,The Hustler
Poland,Y,N,N,Retail,NA,NA,NA,The Consistent
South Korea,N,Y,N,Retail,NA,NA,NA,The Hustler
Hong Kong,Y,N,Y,Logistics,2005,CEO,36,The Consistent
Russia,Y,Y,N,Telecom,NA,Founder,NA,The Hustler
Romania,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
New Zealand,Y,Y,N,Finance,NA,NA,NA,The Ghost
United States,Y,Y,N,Fashion and Retail,2000,Founder,30,The Consistent
United Kingdom,Y,N,N,Investments,NA,NA,NA,The Ghost
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
Turkey,N,Y,Y,Diversified,NA,NA,NA,The Ghost
Hong Kong,Y,N,Y,Energy,NA,NA,NA,The Ghost
Brazil,N,N,N,Logistics,NA,NA,NA,The Ghost
Russia,Y,Y,N,Real Estate,NA,Founder,NA,The Hustler
Russia,Y,Y,N,Real Estate,NA,Founder,NA,The Hustler
Russia,Y,Y,N,Real Estate,NA,Founder,NA,The Hustler
India,Y,N,N,Investments,NA,NA,NA,The Ghost
Brazil,N,N,N,Logistics,NA,NA,NA,The Ghost
India,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Japan,Y,N,N,Software,NA,Founder,NA,The Consistent
Turkey,N,N,N,Diversified,NA,NA,NA,The Hustler
Ukraine,Y,Y,N,Agriculture,NA,NA,NA,The Ghost
Brazil,N,N,N,Logistics,NA,NA,NA,The Ghost
Brazil,N,Y,Y,Automotive,NA,NA,NA,The Ghost
Lebanon,N,N,N,Diversified,NA,NA,NA,The Ghost
Brazil,N,N,Y,Media,1950,Relation,-8,The Hustler
Brazil,N,Y,N,Media,1950,Relation,NA,The Hustler
Brazil,N,Y,N,Media,1950,Relation,NA,The Hustler
Austria,N,N,N,Manufacturing,1932,Relation,-10,The Hustler
China,Y,N,N,Retail,1992,Founder,50,The Hustler
Israel,Y,N,N,Finance,NA,Founder,NA,The Hustler
Brazil,N,N,Y,Diversified,NA,Relation,NA,The Hustler
Brazil,N,Y,N,Diversified,NA,Relation,NA,The Hustler
Brazil,N,N,N,Diversified,NA,Relation,NA,The Hustler
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
China,Y,N,Y,Software,2004,Founder,34,The Hustler
Turkey,N,N,N,Media,NA,NA,NA,The Ghost
Kazakhstan,Y,N,N,Finance,NA,NA,NA,The Ghost
Germany,Y,N,N,Service,NA,NA,NA,The Ghost
Macau,Y,N,N,Real Estate,1997,Vice Chairman,72,The Hustler
Chile,N,N,N,Diversified,NA,NA,NA,The Ghost
Lebanon,N,N,N,Diversified,NA,NA,NA,The Ghost
China,Y,N,N,Retail,1999,Founder,NA,The Hustler
United States,N,Y,N,Energy,NA,NA,NA,The Hustler
United States,Y,N,N,Automotive,NA,NA,NA,The Hustler
Israel,Y,N,N,Software,1982,NA,53,The Consistent
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost
United States,N,N,N,Retail,NA,NA,NA,The Ghost
United States,Y,N,N,Media,NA,NA,NA,The Ghost
United States,N,Y,N,Media,NA,NA,NA,The Ghost
United States,N,Y,N,Media,NA,NA,NA,The Ghost
United States,Y,Y,Y,Media,1928,Relation,5,The Ghost
United States,Y,Y,Y,Investments,1961,Founder,35,The Ghost
United States,N,N,N,Finance,NA,NA,NA,The Hustler
United States,Y,Y,Y,Manufacturing,1982,Founder,45,The Hustler
United States,N,N,N,Media,1984,Relation,55,The Ghost
Australia,Y,N,N,Media,NA,NA,NA,The Ghost
France,N,N,N,Health care,1968,NA,31,The Hustler
Austria,N,N,N,Manufacturing,1969,Relation,33,The Hustler
Japan,N,Y,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,N,N,Finance,NA,NA,NA,The Consistent
United States,N,N,N,Food and Beverage,NA,NA,NA,The Ghost
United Arab Emirates,Y,N,N,Diversified,NA,NA,NA,The Ghost
United States,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost
Turkey,Y,N,N,Diversified,NA,NA,NA,The Ghost
France,N,N,N,Metals and Mining,NA,Relation,NA,The Hustler
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Hustler
Turkey,Y,N,N,Food and Beverage,NA,Founder,NA,The Consistent
United States,Y,N,N,Finance,NA,NA,NA,The Ghost
France,N,N,N,Metals and Mining,NA,NA,NA,The Hustler
Russia,Y,Y,N,Food and Beverage,NA,Founder,NA,The Consistent
Indonesia,Y,N,N,Metals and Mining,NA,NA,NA,The Hustler
United States,N,N,N,Technology,NA,NA,NA,The Ghost
United States,Y,Y,Y,Energy,1983,NA,38,The Consistent
Indonesia,Y,N,N,Real Estate,NA,NA,NA,The Hustler
India,Y,Y,N,Health care,NA,NA,NA,The Ghost
United States,N,Y,N,Manufacturing,NA,NA,NA,The Ghost
United States,Y,Y,N,Sports,NA,NA,NA,The Ghost
Turkey,Y,N,N,Telecom,1994,NA,47,The Consistent
United Kingdom,Y,N,N,Retail,NA,NA,NA,The Hustler
Germany,Y,N,N,Fashion and Retail,NA,NA,NA,The Ghost
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Ghost
United States,Y,Y,N,Investments,NA,NA,NA,The Hustler
United States,N,Y,N,Construction and Engineering,NA,NA,NA,The Ghost
Thailand,N,N,N,Diversified,1983,Founder,33,The Consistent
Israel,Y,N,N,Service,NA,NA,NA,The Ghost
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost
India,Y,N,N,Finance,1986,Vice Chairman,35,The Hustler
China,Y,N,N,Food and Beverage,1986,Founder,36,The Consistent
United States,N,N,N,Manufacturing,NA,NA,NA,The Ghost
United States,Y,Y,N,Media,NA,NA,NA,The Ghost
United States,N,Y,N,Sports,NA,NA,NA,The Ghost
Russia,Y,N,N,Finance,NA,Chairman,NA,The Hustler
United States,Y,Y,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,Y,Y,Service,NA,NA,NA,The Consistent
United States,Y,Y,Y,Retail,1984,Founder,35,The Hustler
Turkey,Y,N,N,Construction and Engineering,1981,NA,28,The Consistent
Italy,Y,N,N,Fashion and Retail,1978,Founder,25,The Consistent
Australia,Y,N,N,Manufacturing,1983,Founder,30,The Consistent
Russia,Y,Y,N,Energy,NA,Founder,NA,The Consistent
Turkey,N,N,N,Media,NA,NA,NA,The Ghost
China,Y,N,Y,Retail,NA,NA,NA,The Hustler
Russia,Y,Y,N,Diversified,NA,Founder,NA,The Consistent
Norway,N,Y,N,Finance,1980,NA,25,The Consistent
Pakistan,N,N,N,Diversified,NA,NA,NA,The Ghost
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
South Korea,N,Y,N,Diversified,NA,Relation,NA,The Consistent
China,Y,N,N,Real Estate,NA,Founder,NA,The Hustler
Serbia,Y,N,N,Finance,NA,NA,NA,The Ghost
United States,Y,Y,N,Technology,NA,NA,NA,The Consistent
Russia,Y,Y,N,Construction and Engineering,NA,Founder,NA,The Consistent
China,Y,N,N,Manufacturing,NA,NA,NA,The Consistent
United States,Y,N,N,Retail,2004,Founder,51,The Hustler
Hong Kong,N,N,N,Real Estate,1962,Relation,8,The Hustler
United States,Y,Y,Y,Finance,NA,NA,NA,The Ghost
China,Y,N,N,Finance,2000,Chairman,42,The Hustler
Japan,N,N,N,Investments,1978,President,30,The Ghost
South Korea,N,Y,Y,Manufacturing,NA,NA,NA,The Ghost
Taiwan,N,N,N,Manufacturing,1991,NA,32,The Consistent
Turkey,Y,N,N,Energy,NA,NA,NA,The Ghost
United States,Y,Y,Y,Finance,NA,NA,NA,The Ghost
Brazil,Y,N,N,Education,1987,Founder,31,The Hustler
China,Y,N,N,Automotive,NA,NA,NA,The Ghost
United States,N,Y,N,Finance,NA,NA,NA,The Hustler
China,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Mexico,Y,N,N,Retail,NA,NA,NA,The Ghost
Israel,Y,N,N,Diversified,NA,NA,NA,The Ghost
China,Y,Y,N,Investments,NA,NA,NA,The Ghost
United States,N,Y,N,Finance,NA,NA,NA,The Hustler
Russia,Y,Y,N,Finance,1992,Founder,34,The Hustler
Russia,Y,N,N,Finance,NA,NA,NA,The Ghost
Russia,Y,Y,N,Construction and Engineering,1991,NA,29,The Consistent
United States,Y,Y,N,Investments,1993,Founder,31,The Consistent
China,Y,N,N,Real Estate,1995,NA,33,The Consistent
South Korea,N,N,N,Manufacturing,NA,NA,NA,The Ghost
United States,Y,N,N,Retail,NA,NA,NA,The Hustler
China,Y,Y,N,Agriculture,NA,NA,NA,The Hustler
China,Y,N,N,Manufacturing,1984,Chairman,20,The Consistent
Hong Kong,Y,N,Y,Retail,NA,NA,NA,The Ghost
Taiwan,N,Y,N,Media,NA,NA,NA,The Ghost
Russia,Y,N,N,Manufacturing,NA,NA,NA,The Ghost
Turkey,N,N,N,Diversified,NA,NA,NA,The Ghost
Turkey,N,N,N,Energy,NA,NA,NA,The Ghost
Poland,Y,N,N,Manufacturing,NA,NA,NA,The Ghost
United States,N,N,N,Technology,1966,Founder,10,The Ghost
Cyprus,N,Y,N,Service,NA,NA,NA,The Consistent
China,Y,N,Y,Construction and Engineering,NA,NA,NA,The Ghost
Russia,Y,Y,N,Retail,NA,NA,NA,The Hustler
United Kingdom,N,N,N,Technology,1996,Founder,32,The Hustler
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
Tanzania,Y,N,N,Media,1999,Investor,34,The Hustler
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost
Turkey,N,N,N,Diversified,NA,NA,NA,The Hustler
China,Y,Y,N,Diversified,1993,Founder,29,The Hustler
China,Y,N,N,Manufacturing,NA,NA,NA,The Hustler
Russia,Y,Y,N,Retail,NA,NA,NA,The Ghost
Russia,Y,Y,N,Retail,NA,NA,NA,The Hustler
United States,N,Y,N,Finance,NA,NA,NA,The Ghost
China,Y,N,N,Health care,2000,Founder,32,The Consistent
Russia,Y,Y,N,Food and Beverage,NA,NA,NA,The Ghost
Turkey,N,Y,N,Finance,NA,NA,NA,The Ghost
China,Y,N,N,Logistics,NA,NA,NA,The Ghost
Ukraine,Y,Y,N,Food and Beverage,1993,Founder,28,The Hustler
Indonesia,N,Y,N,Agriculture,NA,NA,NA,The Ghost
China,Y,Y,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,Y,N,Retail,2004,NA,38,The Hustler
Russia,Y,N,N,Diversified,1993,Founder,27,The Hustler
Lithuania,Y,N,N,Retail,NA,NA,NA,The Hustler
Turkey,N,Y,N,Diversified,NA,NA,NA,The Ghost
Belgium,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
Russia,Y,Y,N,Diversified,NA,NA,NA,The Consistent
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
United States,Y,Y,N,Technology,NA,NA,NA,The Ghost
United States,Y,Y,N,Technology,NA,NA,NA,The Ghost
United States,Y,Y,Y,Investments,NA,NA,NA,The Ghost
Russia,Y,N,N,Logistics,NA,NA,NA,The Ghost
Turkey,N,N,N,Diversified,NA,NA,NA,The Ghost
United Kingdom,N,Y,N,Retail,NA,NA,NA,The Ghost
Brazil,Y,N,N,Manufacturing,NA,NA,NA,The Ghost
United States,Y,Y,N,Technology,2003,NA,29,The Consistent
Russia,Y,Y,N,Finance,NA,NA,NA,The Ghost
United Kingdom,N,N,N,Finance,1811,Relation,-161,The Ghost
United States,Y,Y,N,Media,2004,Founder,30,The Hustler
Turkey,N,Y,N,Finance,NA,NA,NA,The Ghost
India,N,Y,N,Construction and Engineering,NA,NA,NA,The Ghost
Turkey,N,Y,N,Media,NA,NA,NA,The Ghost
Turkey,N,N,Y,Media,NA,NA,NA,The Ghost
Russia,Y,Y,N,Retail,NA,NA,NA,The Ghost
Ukraine,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost
India,Y,N,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,Y,N,Software,2007,Founder,25,The Consistent
Turkey,N,Y,Y,Media,NA,NA,NA,The Ghost
China,N,N,N,Metals and Mining,NA,NA,NA,The Ghost
